Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Station
K Neighbors Regressor,57.4798,5676.9787,72.0921,-0.8949,0.444,0.4062,0.08,"Adarsh Nagar, Jaipur, India"
Light Gradient Boosting Machine,51.8714,5426.8815,68.5124,-0.1231,0.5071,0.4278,0.172,"Alandur Bus Depot, Chennai, Chennai, India"
Decision Tree Regressor,62.3537,8602.8082,80.4948,-0.6087,0.566,0.6115,0.022,"Anand Kala Kshetram, Rajamahendravaram, India"
Gradient Boosting Regressor,115.2948,23836.2743,147.4204,-0.3182,0.475,0.4378,0.062,"Anand Vihar, Delhi, Delhi, India"
Gradient Boosting Regressor,87.4975,11264.8268,103.9046,-0.5637,0.4704,0.499,0.06,"Anand Vihar, Hapur, India"
Light Gradient Boosting Machine,46.5118,3791.2506,60.062,-0.0755,0.5301,0.4991,0.172,"Anthoni Pillai Nagar, Gummidipoondi, India"
Gradient Boosting Regressor,107.4327,21533.7098,140.1386,-0.1537,0.4465,0.4246,0.058,"Arya Nagar, Bahadurgarh, India"
K Neighbors Regressor,65.6052,8459.7597,89.2967,-0.2181,0.4817,0.4249,0.082,"Asansol Court Area, Asansol, India"
Light Gradient Boosting Machine,31.2402,1682.8097,38.5703,-1.2786,0.3897,0.3615,0.172,"Ashok Nagar, Udaipur, India"
Random Forest Regressor,25.2392,1465.2325,32.4071,-1.1156,0.4176,0.4485,0.258,"B.Katihalli, Hassan, India"
Extreme Gradient Boosting,32.0373,1908.3242,39.1497,-0.4995,0.4816,0.5187,4.628,"BWSSB Kadabesanahalli, Bengaluru, India"
K Neighbors Regressor,59.6256,5863.6967,71.8366,-0.8044,0.4902,0.4821,0.08,"Bandhavgar Colony, Satna, India"
K Neighbors Regressor,40.0902,3480.6165,50.385,-0.9366,0.4555,0.4118,0.082,"Bhopal Chauraha, Dewas, India"
K Neighbors Regressor,60.4935,8428.275,79.4599,-1.1267,0.5057,0.5125,0.084,"Borivali East MPCB, Mumbai, India"
K Neighbors Regressor,84.3366,13283.3404,107.7184,-1.2316,0.6309,0.7706,0.078,"Borivali East, Mumbai, India"
Random Forest Regressor,75.1499,9719.1018,95.2905,-0.4257,0.466,0.4781,0.264,"Central Jail, Buxar, India"
K Neighbors Regressor,38.7965,3149.7742,48.3992,-0.5965,0.4347,0.3996,0.08,"Chhoti Gwaltoli, Indore, India"
Light Gradient Boosting Machine,26.4575,1459.2936,34.0608,-0.5939,0.415,0.4061,0.178,"Chikkaballapur Rural, Chikkaballapur, India"
